"year","road_user","counterparty","Sum(hospitalisations)"
2015,"Heavy transport unknown position","Other and unspecified transport accidents",12
2015,"Motorcyclist","2- or 3- wheeled motor vehicle",175
2015,"Motorcyclist","Car, pick-up truck or van",2131
2015,"Motorcyclist","Fixed or stationary object",751
2015,"Motorcyclist","Heavy transport vehicle or bus",88
2015,"Motorcyclist","Non-collision transport accident",3412
2015,"Motorcyclist","Other and unspecified transport accidents",1535
2015,"Motorcyclist","Other non-motor vehicle",10
2015,"Motorcyclist","Pedal cycle",7
2015,"Motorcyclist","Pedestrian or animal",188
2015,"Motorcyclist","Train",1
2015,"Other or unknown","Car, pick-up truck or van",7
2015,"Other or unknown","Non-collision transport accident",6
2015,"Other or unknown","Other and unspecified transport accidents",486
2015,"Other or unknown","Other non-motor vehicle",3
2015,"Other or unknown","Train",1
2015,"Pedal cyclist","2- or 3- wheeled motor vehicle",15
2015,"Pedal cyclist","Car, pick-up truck or van",1455
2015,"Pedal cyclist","Fixed or stationary object",350
2015,"Pedal cyclist","Heavy transport vehicle or bus",47
2015,"Pedal cyclist","Non-collision transport accident",3004
2015,"Pedal cyclist","Other and unspecified transport accidents",1415
2015,"Pedal cyclist","Other non-motor vehicle",6
2015,"Pedal cyclist","Pedal cycle",354
2015,"Pedal cyclist","Pedestrian or animal",70
2015,"Pedestrian","2- or 3- wheeled motor vehicle",49
2015,"Pedestrian","Car, pick-up truck or van",2330
2015,"Pedestrian","Heavy transport vehicle or bus",94
2015,"Pedestrian","Other and unspecified transport accidents",77
2015,"Pedestrian","Other non-motor vehicle",12
2015,"Pedestrian","Pedal cycle",52
2015,"Pedestrian","Pedestrian or animal",7
2015,"Pedestrian","Train",6
2015,"Pick-up truck or van occupant","Car, pick-up truck or van",78
2015,"Pick-up truck or van occupant","Fixed or stationary object",42
2015,"Pick-up truck or van occupant","Heavy transport vehicle or bus",18
2015,"Pick-up truck or van occupant","Non-collision transport accident",100
2015,"Pick-up truck or van occupant","Other and unspecified transport accidents",9
2015,"Pick-up truck or van occupant","Other non-motor vehicle",1
2015,"Pick-up truck or van occupant","Pedestrian or animal",1
2016,"Bus occupant","2- or 3- wheeled motor vehicle",1
2016,"Bus occupant","Car, pick-up truck or van",37
2016,"Bus occupant","Fixed or stationary object",23
2016,"Bus occupant","Heavy transport vehicle or bus",12
2016,"Bus occupant","Non-collision transport accident",189
2016,"Bus occupant","Other and unspecified transport accidents",20
2016,"Bus occupant","Pedestrian or animal",1
2016,"Car driver","2- or 3- wheeled motor vehicle",32
2016,"Car driver","Car, pick-up truck or van",7366
2016,"Car driver","Fixed or stationary object",3227
2016,"Car driver","Heavy transport vehicle or bus",541
2016,"Car driver","Non-collision transport accident",1750
2016,"Car driver","Other and unspecified transport accidents",152
2016,"Car driver","Other non-motor vehicle",19
2016,"Car driver","Pedal cycle",4
2016,"Car driver","Pedestrian or animal",91
2016,"Car driver","Train",12
2016,"Car passenger","2- or 3- wheeled motor vehicle",9
2016,"Car passenger","Car, pick-up truck or van",2667
2016,"Car passenger","Fixed or stationary object",1021
2016,"Car passenger","Heavy transport vehicle or bus",215
2016,"Car passenger","Non-collision transport accident",1039
2016,"Car passenger","Other and unspecified transport accidents",86
2016,"Car passenger","Other non-motor vehicle",7
2016,"Car passenger","Pedestrian or animal",55
2016,"Car passenger","Train",4
2016,"Car unknown position","2- or 3- wheeled motor vehicle",1
2016,"Car unknown position","Car, pick-up truck or van",117
2016,"Car unknown position","Fixed or stationary object",35
2016,"Car unknown position","Heavy transport vehicle or bus",7
