Calendar year,6-monthly,Cause of injury = traffic,First Nations status,Road user,Hospitalisations,Bed days excluding died in hospitals within 30 days
2019,Jan-Jun,Traffic,Non-Indigenous,Bus occupant,n.p.,n.p.
2019,Jan-Jun,Traffic,Non-Indigenous,Other or unknown,273,1893
2019,Jul-Dec,Traffic,First Nations people,"Car driver, passenger or unknown position",519,3246
2019,Jul-Dec,Traffic,First Nations people,Motorcyclist,186,1598
2019,Jul-Dec,Traffic,First Nations people,Pedal cyclist,128,391
2019,Jul-Dec,Traffic,First Nations people,Pedestrian,91,598
2019,Jul-Dec,Traffic,First Nations people,"Heavy transport driver, passenger or unknown position",12,29
2019,Jul-Dec,Traffic,First Nations people,Pick-up truck or van occupant,5,32
2019,Jul-Dec,Traffic,First Nations people,Bus occupant,n.p.,n.p.
2019,Jul-Dec,Traffic,First Nations people,Other or unknown,n.p.,n.p.
2019,Jul-Dec,Traffic,Non-Indigenous,"Car driver, passenger or unknown position",9111,42167
2019,Jul-Dec,Traffic,Non-Indigenous,Motorcyclist,4224,24726
2019,Jul-Dec,Traffic,Non-Indigenous,Pedal cyclist,3317,10349
2019,Jul-Dec,Traffic,Non-Indigenous,Pedestrian,1223,13831
2019,Jul-Dec,Traffic,Non-Indigenous,"Heavy transport driver, passenger or unknown position",240,1207
2019,Jul-Dec,Traffic,Non-Indigenous,Pick-up truck or van occupant,135,578
2019,Jul-Dec,Traffic,Non-Indigenous,Bus occupant,n.p.,n.p.
2019,Jul-Dec,Traffic,Non-Indigenous,Other or unknown,n.p.,n.p.
2020,Jan-Jun,Traffic,First Nations people,"Car driver, passenger or unknown position",486,2995
2020,Jan-Jun,Traffic,First Nations people,Motorcyclist,248,1155
2020,Jan-Jun,Traffic,First Nations people,Pedal cyclist,118,376
2020,Jan-Jun,Traffic,First Nations people,Pedestrian,96,710
2020,Jan-Jun,Traffic,First Nations people,"Heavy transport driver, passenger or unknown position",5,10
2020,Jan-Jun,Traffic,First Nations people,Pick-up truck or van occupant,11,26
2020,Jan-Jun,Traffic,First Nations people,Bus occupant,5,19
2020,Jan-Jun,Traffic,First Nations people,Other or unknown,21,64
2020,Jan-Jun,Traffic,Non-Indigenous,"Car driver, passenger or unknown position",7280,36989
2020,Jan-Jun,Traffic,Non-Indigenous,Motorcyclist,3710,20445
2020,Jan-Jun,Traffic,Non-Indigenous,Pedal cyclist,3933,11557
2020,Jan-Jun,Traffic,Non-Indigenous,Pedestrian,878,9783
2020,Jan-Jun,Traffic,Non-Indigenous,"Heavy transport driver, passenger or unknown position",222,1466
2020,Jan-Jun,Traffic,Non-Indigenous,Pick-up truck or van occupant,129,654
2020,Jan-Jun,Traffic,Non-Indigenous,Bus occupant,79,394
2020,Jan-Jun,Traffic,Non-Indigenous,Other or unknown,265,1942
2020,Jul-Dec,Traffic,First Nations people,"Car driver, passenger or unknown position",722,3457
2020,Jul-Dec,Traffic,First Nations people,Motorcyclist,297,1754
2020,Jul-Dec,Traffic,First Nations people,Pedal cyclist,112,524
2020,Jul-Dec,Traffic,First Nations people,Pedestrian,127,1124
2020,Jul-Dec,Traffic,First Nations people,"Heavy transport driver, passenger or unknown position",5,13
2020,Jul-Dec,Traffic,First Nations people,Pick-up truck or van occupant,8,26
2020,Jul-Dec,Traffic,First Nations people,Bus occupant,5,12
2020,Jul-Dec,Traffic,First Nations people,Other or unknown,24,111
2020,Jul-Dec,Traffic,Non-Indigenous,"Car driver, passenger or unknown position",8563,38301
2020,Jul-Dec,Traffic,Non-Indigenous,Motorcyclist,4328,23080
2020,Jul-Dec,Traffic,Non-Indigenous,Pedal cyclist,4079,11665
2020,Jul-Dec,Traffic,Non-Indigenous,Pedestrian,979,9462
2020,Jul-Dec,Traffic,Non-Indigenous,"Heavy transport driver, passenger or unknown position",254,1530
2020,Jul-Dec,Traffic,Non-Indigenous,Pick-up truck or van occupant,146,758
2020,Jul-Dec,Traffic,Non-Indigenous,Bus occupant,81,414
2020,Jul-Dec,Traffic,Non-Indigenous,Other or unknown,260,1459
2021,Jan-Jun,Traffic,First Nations people,"Car driver, passenger or unknown position",597,2963
2021,Jan-Jun,Traffic,First Nations people,Motorcyclist,246,1729
2021,Jan-Jun,Traffic,First Nations people,Pedal cyclist,95,501
2021,Jan-Jun,Traffic,First Nations people,Pedestrian,123,1020
2021,Jan-Jun,Traffic,First Nations people,"Heavy transport driver, passenger or unknown position",7,30
2021,Jan-Jun,Traffic,First Nations people,Pick-up truck or van occupant,20,44
2021,Jan-Jun,Traffic,First Nations people,Bus occupant,7,10
2021,Jan-Jun,Traffic,First Nations people,Other or unknown,22,232
2021,Jan-Jun,Traffic,Non-Indigenous,"Car driver, passenger or unknown position",9023,43265
2021,Jan-Jun,Traffic,Non-Indigenous,Motorcyclist,4413,24621
2021,Jan-Jun,Traffic,Non-Indigenous,Pedal cyclist,3970,13346
2021,Jan-Jun,Traffic,Non-Indigenous,Pedestrian,1083,10322
2021,Jan-Jun,Traffic,Non-Indigenous,"Heavy transport driver, passenger or unknown position",223,1126
2021,Jan-Jun,Traffic,Non-Indigenous,Pick-up truck or van occupant,164,928
2021,Jan-Jun,Traffic,Non-Indigenous,Bus occupant,84,312
2021,Jan-Jun,Traffic,Non-Indigenous,Other or unknown,300,2007
2021,Jul-Dec,Traffic,First Nations people,"Car driver, passenger or unknown position",561,3006
2021,Jul-Dec,Traffic,First Nations people,Motorcyclist,274,1475
2021,Jul-Dec,Traffic,First Nations people,Pedal cyclist,112,391
2021,Jul-Dec,Traffic,First Nations people,Pedestrian,112,1616
2021,Jul-Dec,Traffic,First Nations people,"Heavy transport driver, passenger or unknown position",n.p.,n.p.
2021,Jul-Dec,Traffic,First Nations people,Pick-up truck or van occupant,8,57
2021,Jul-Dec,Traffic,First Nations people,Bus occupant,n.p.,n.p.
2021,Jul-Dec,Traffic,First Nations people,Other or unknown,30,187
