calendar year,6-monthly,cause of injury = traffic,counterparty,count of cases excluding died in hospitals within 30 days,bed days excluding died in hospitals within 30 days,state or territory
2016,Jan-Jun,Traffic,Non-collision transport accident,1197,4719,Qld
2016,Jan-Jun,Traffic,Other,797,3474,Qld
2016,Jan-Jun,Traffic,"Car, pick-up truck or van",576,4785,WA
2016,Jan-Jun,Traffic,Fixed or stationary object,172,1690,WA
2016,Jan-Jun,Traffic,Non-collision transport accident,452,2533,WA
2016,Jan-Jun,Traffic,Other,308,1756,WA
2016,Jan-Jun,Traffic,"Car, pick-up truck or van",540,3294,SA
2016,Jan-Jun,Traffic,Fixed or stationary object,192,1310,SA
2016,Jan-Jun,Traffic,Non-collision transport accident,391,1527,SA
2016,Jan-Jun,Traffic,Other,247,1032,SA
2016,Jan-Jun,Traffic,"Car, pick-up truck or van",87,546,Tas
2016,Jan-Jun,Traffic,Fixed or stationary object,44,371,Tas
2016,Jan-Jun,Traffic,Non-collision transport accident,135,578,Tas
2016,Jan-Jun,Traffic,Other,64,412,Tas
2016,Jan-Jun,Traffic,"Car, pick-up truck or van",113,582,ACT
2016,Jan-Jun,Traffic,Fixed or stationary object,35,216,ACT
2016,Jan-Jun,Traffic,Non-collision transport accident,112,321,ACT
2016,Jan-Jun,Traffic,Other,75,303,ACT
2016,Jan-Jun,Traffic,"Car, pick-up truck or van",81,571,NT
2016,Jan-Jun,Traffic,Fixed or stationary object,56,199,NT
2016,Jan-Jun,Traffic,Non-collision transport accident,117,382,NT
2016,Jan-Jun,Traffic,Other,57,349,NT
2016,Jul-Dec,Traffic,"Car, pick-up truck or van",2621,14346,NSW
2016,Jul-Dec,Traffic,Fixed or stationary object,843,4937,NSW
2016,Jul-Dec,Traffic,Non-collision transport accident,1385,5723,NSW
2016,Jul-Dec,Traffic,Other,849,5030,NSW
2016,Jul-Dec,Traffic,"Car, pick-up truck or van",2541,18426,Vic
2016,Jul-Dec,Traffic,Fixed or stationary object,695,6949,Vic
2016,Jul-Dec,Traffic,Non-collision transport accident,1028,3260,Vic
2016,Jul-Dec,Traffic,Other,896,6193,Vic
2016,Jul-Dec,Traffic,"Car, pick-up truck or van",1755,8212,Qld
2016,Jul-Dec,Traffic,Fixed or stationary object,653,3726,Qld
2016,Jul-Dec,Traffic,Non-collision transport accident,1179,4249,Qld
2016,Jul-Dec,Traffic,Other,847,4356,Qld
2016,Jul-Dec,Traffic,"Car, pick-up truck or van",510,4737,WA
2016,Jul-Dec,Traffic,Fixed or stationary object,238,2464,WA
2016,Jul-Dec,Traffic,Non-collision transport accident,440,2455,WA
2016,Jul-Dec,Traffic,Other,335,1482,WA
2016,Jul-Dec,Traffic,"Car, pick-up truck or van",524,2725,SA
2016,Jul-Dec,Traffic,Fixed or stationary object,195,1191,SA
2016,Jul-Dec,Traffic,Non-collision transport accident,374,1109,SA
2016,Jul-Dec,Traffic,Other,191,1007,SA
2016,Jul-Dec,Traffic,"Car, pick-up truck or van",110,870,Tas
2016,Jul-Dec,Traffic,Fixed or stationary object,54,483,Tas
2016,Jul-Dec,Traffic,Non-collision transport accident,92,293,Tas
2016,Jul-Dec,Traffic,Other,71,411,Tas
2016,Jul-Dec,Traffic,"Car, pick-up truck or van",122,486,ACT
2016,Jul-Dec,Traffic,Fixed or stationary object,43,128,ACT
2016,Jul-Dec,Traffic,Non-collision transport accident,99,198,ACT
2016,Jul-Dec,Traffic,Other,55,438,ACT
2016,Jul-Dec,Traffic,"Car, pick-up truck or van",87,612,NT
2016,Jul-Dec,Traffic,Fixed or stationary object,65,462,NT
2016,Jul-Dec,Traffic,Non-collision transport accident,187,888,NT
2016,Jul-Dec,Traffic,Other,59,330,NT
2017,Jan-Jun,Traffic,"Car, pick-up truck or van",2558,13052,NSW
2017,Jan-Jun,Traffic,Fixed or stationary object,800,5018,NSW
2017,Jan-Jun,Traffic,Non-collision transport accident,1328,5598,NSW
2017,Jan-Jun,Traffic,Other,914,4689,NSW
2017,Jan-Jun,Traffic,"Car, pick-up truck or van",2665,16669,Vic
2017,Jan-Jun,Traffic,Fixed or stationary object,734,6304,Vic
2017,Jan-Jun,Traffic,Non-collision transport accident,1155,4579,Vic
2017,Jan-Jun,Traffic,Other,894,5367,Vic
2017,Jan-Jun,Traffic,"Car, pick-up truck or van",1802,7534,Qld
2017,Jan-Jun,Traffic,Fixed or stationary object,559,3707,Qld
2017,Jan-Jun,Traffic,Non-collision transport accident,1209,4649,Qld
2017,Jan-Jun,Traffic,Other,850,3852,Qld
2017,Jan-Jun,Traffic,"Car, pick-up truck or van",548,4211,WA
2017,Jan-Jun,Traffic,Fixed or stationary object,211,2320,WA
2017,Jan-Jun,Traffic,Non-collision transport accident,491,2322,WA
2017,Jan-Jun,Traffic,Other,366,1300,WA
2017,Jan-Jun,Traffic,"Car, pick-up truck or van",508,3000,SA
2017,Jan-Jun,Traffic,Fixed or stationary object,181,1122,SA
2017,Jan-Jun,Traffic,Non-collision transport accident,380,1438,SA
2017,Jan-Jun,Traffic,Other,244,1366,SA
2017,Jan-Jun,Traffic,"Car, pick-up truck or van",99,817,Tas
2017,Jan-Jun,Traffic,Fixed or stationary object,53,373,Tas
2017,Jan-Jun,Traffic,Non-collision transport accident,127,458,Tas
