calendar year,6-monthly,cause of injury = traffic,road user,count of cases excluding died in hospitals within 30 days,bed days excluding died in hospitals within 30 days,state or territory
2012,Jul-Dec,Traffic,Pedal cyclist,49,104,Tas
2012,Jul-Dec,Traffic,Pedestrian,19,153,Tas
2012,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",n.p.,n.p.,Tas
2012,Jul-Dec,Traffic,Pick-up truck or van occupant,n.p.,n.p.,Tas
2012,Jul-Dec,Traffic,Bus occupant,n.p.,n.p.,Tas
2012,Jul-Dec,Traffic,Other or unknown,7,10,Tas
2012,Jul-Dec,Traffic,"Car driver, passenger or unknown position",106,389,ACT
2012,Jul-Dec,Traffic,Motorcyclist,60,243,ACT
2012,Jul-Dec,Traffic,Pedal cyclist,91,229,ACT
2012,Jul-Dec,Traffic,Pedestrian,14,66,ACT
2012,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",n.p.,n.p.,ACT
2012,Jul-Dec,Traffic,Bus occupant,n.p.,n.p.,ACT
2012,Jul-Dec,Traffic,Other or unknown,11,22,ACT
2012,Jul-Dec,Traffic,"Car driver, passenger or unknown position",141,738,NT
2012,Jul-Dec,Traffic,Motorcyclist,66,352,NT
2012,Jul-Dec,Traffic,Pedal cyclist,26,145,NT
2012,Jul-Dec,Traffic,Pedestrian,22,289,NT
2012,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",7,18,NT
2012,Jul-Dec,Traffic,Pick-up truck or van occupant,n.p.,n.p.,NT
2012,Jul-Dec,Traffic,Bus occupant,n.p.,n.p.,NT
2012,Jul-Dec,Traffic,Other or unknown,8,63,NT
2013,Jan-Jun,Traffic,"Car driver, passenger or unknown position",2702,10523,NSW
2013,Jan-Jun,Traffic,Motorcyclist,1206,5610,NSW
2013,Jan-Jun,Traffic,Pedal cyclist,893,2654,NSW
2013,Jan-Jun,Traffic,Pedestrian,466,3158,NSW
2013,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",47,221,NSW
2013,Jan-Jun,Traffic,Pick-up truck or van occupant,41,171,NSW
2013,Jan-Jun,Traffic,Bus occupant,45,271,NSW
2013,Jan-Jun,Traffic,Other or unknown,68,277,NSW
2013,Jan-Jun,Traffic,"Car driver, passenger or unknown position",1788,7149,Vic
2013,Jan-Jun,Traffic,Motorcyclist,765,2998,Vic
2013,Jan-Jun,Traffic,Pedal cyclist,825,2071,Vic
2013,Jan-Jun,Traffic,Pedestrian,348,2269,Vic
2013,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",57,332,Vic
2013,Jan-Jun,Traffic,Pick-up truck or van occupant,27,163,Vic
2013,Jan-Jun,Traffic,Bus occupant,25,113,Vic
2013,Jan-Jun,Traffic,Other or unknown,63,221,Vic
2013,Jan-Jun,Traffic,"Car driver, passenger or unknown position",1762,6030,Qld
2013,Jan-Jun,Traffic,Motorcyclist,955,4458,Qld
2013,Jan-Jun,Traffic,Pedal cyclist,618,1681,Qld
2013,Jan-Jun,Traffic,Pedestrian,208,1129,Qld
2013,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",67,296,Qld
2013,Jan-Jun,Traffic,Pick-up truck or van occupant,24,169,Qld
2013,Jan-Jun,Traffic,Bus occupant,21,78,Qld
2013,Jan-Jun,Traffic,Other or unknown,64,250,Qld
