calendar year,6-monthly,cause of injury = traffic,age group,count of cases excluding died in hospitals within 30 days,bed days excluding died in hospitals within 30 days,state or territory
2013,Jan-Jun,Traffic,8-16,333,754,Qld
2013,Jan-Jun,Traffic,0-7,41,61,WA
2013,Jan-Jun,Traffic,17-25,450,1881,WA
2013,Jan-Jun,Traffic,26-39,502,2346,WA
2013,Jan-Jun,Traffic,40-64,529,2686,WA
2013,Jan-Jun,Traffic,65-74,82,504,WA
2013,Jan-Jun,Traffic,75+,73,548,WA
2013,Jan-Jun,Traffic,8-16,125,451,WA
2013,Jan-Jun,Traffic,0-7,13,37,SA
2013,Jan-Jun,Traffic,17-25,209,1177,SA
2013,Jan-Jun,Traffic,26-39,244,1027,SA
2013,Jan-Jun,Traffic,40-64,356,1629,SA
2013,Jan-Jun,Traffic,65-74,63,858,SA
2013,Jan-Jun,Traffic,75+,94,766,SA
2013,Jan-Jun,Traffic,8-16,84,217,SA
2013,Jan-Jun,Traffic,0-7,8,20,Tas
2013,Jan-Jun,Traffic,17-25,63,243,Tas
2013,Jan-Jun,Traffic,26-39,66,239,Tas
2013,Jan-Jun,Traffic,40-64,82,425,Tas
2013,Jan-Jun,Traffic,65-74,21,180,Tas
2013,Jan-Jun,Traffic,75+,15,185,Tas
2013,Jan-Jun,Traffic,8-16,23,92,Tas
2013,Jan-Jun,Traffic,0-7,n.p.,n.p.,ACT
2013,Jan-Jun,Traffic,17-25,56,188,ACT
2013,Jan-Jun,Traffic,26-39,81,369,ACT
2013,Jan-Jun,Traffic,40-64,116,528,ACT
2013,Jan-Jun,Traffic,65-74,25,148,ACT
2013,Jan-Jun,Traffic,75+,n.p.,n.p.,ACT
2013,Jan-Jun,Traffic,8-16,10,58,ACT
2013,Jan-Jun,Traffic,0-7,n.p.,n.p.,NT
2013,Jan-Jun,Traffic,17-25,76,374,NT
2013,Jan-Jun,Traffic,26-39,70,561,NT
2013,Jan-Jun,Traffic,40-64,66,509,NT
2013,Jan-Jun,Traffic,65-74,10,64,NT
2013,Jan-Jun,Traffic,75+,n.p.,n.p.,NT
2013,Jan-Jun,Traffic,8-16,21,92,NT
2013,Jul-Dec,Traffic,0-7,132,285,NSW
2013,Jul-Dec,Traffic,17-25,1352,4164,NSW
2013,Jul-Dec,Traffic,26-39,1327,4143,NSW
2013,Jul-Dec,Traffic,40-64,1984,8775,NSW
2013,Jul-Dec,Traffic,65-74,400,2459,NSW
2013,Jul-Dec,Traffic,75+,368,3162,NSW
2013,Jul-Dec,Traffic,8-16,390,1166,NSW
2013,Jul-Dec,Traffic,0-7,67,137,Vic
2013,Jul-Dec,Traffic,17-25,830,2085,Vic
2013,Jul-Dec,Traffic,26-39,990,2837,Vic
2013,Jul-Dec,Traffic,40-64,1280,5150,Vic
2013,Jul-Dec,Traffic,65-74,258,1166,Vic
2013,Jul-Dec,Traffic,75+,261,1900,Vic
2013,Jul-Dec,Traffic,8-16,200,475,Vic
2013,Jul-Dec,Traffic,0-7,129,273,Qld
2013,Jul-Dec,Traffic,17-25,885,2666,Qld
2013,Jul-Dec,Traffic,26-39,998,3422,Qld
2013,Jul-Dec,Traffic,40-64,1358,5445,Qld
2013,Jul-Dec,Traffic,65-74,223,1046,Qld
2013,Jul-Dec,Traffic,75+,183,1162,Qld
2013,Jul-Dec,Traffic,8-16,326,914,Qld
2013,Jul-Dec,Traffic,0-7,29,207,WA
2013,Jul-Dec,Traffic,17-25,366,1750,WA
2013,Jul-Dec,Traffic,26-39,427,1759,WA
2013,Jul-Dec,Traffic,40-64,532,2906,WA
2013,Jul-Dec,Traffic,65-74,98,756,WA
