"year","state","road_user","Sum(hospitalisations)","Sum(bed_days)"
2019,"VIC","Car driver, passenger or unknown position",5996,28974
2019,"VIC","Heavy transport driver, passenger or unknown position",122,900
2019,"VIC","Motorcyclist",1939,13405
2019,"VIC","Other or unknown",169,998
2019,"VIC","Pedal cyclist",2215,7341
2019,"VIC","Pedestrian",815,8816
2019,"VIC","Pick-up truck or van occupant",69,384
2019,"WA","Bus occupant",16,74
2019,"WA","Car driver, passenger or unknown position",1540,7575
2019,"WA","Heavy transport driver, passenger or unknown position",40,340
2019,"WA","Motorcyclist",886,5169
2019,"WA","Other or unknown",62,335
2019,"WA","Pedal cyclist",735,2243
2019,"WA","Pedestrian",227,1967
2019,"WA","Pick-up truck or van occupant",28,119
2020,"ACT","Car driver, passenger or unknown position",230,1251
2020,"ACT","Motorcyclist",142,554
2020,"ACT","Other or unknown",12,115
2020,"ACT","Pedal cyclist",223,512
2020,"ACT","Pedestrian",14,68
2020,"NSW","Bus occupant",64,434
2020,"NSW","Car driver, passenger or unknown position",3924,23971
2020,"NSW","Heavy transport driver, passenger or unknown position",125,780
2020,"NSW","Motorcyclist",2335,15262
2020,"NSW","Other or unknown",138,1434
2020,"NSW","Pedal cyclist",1950,7366
2020,"NSW","Pedestrian",660,8715
2020,"NSW","Pick-up truck or van occupant",78,409
2020,"NT","Car driver, passenger or unknown position",385,1815
2020,"NT","Heavy transport driver, passenger or unknown position",6,19
2020,"NT","Motorcyclist",195,647
2020,"NT","Other or unknown",23,110
2020,"NT","Pedal cyclist",108,265
2020,"NT","Pedestrian",56,530
2020,"QLD","Bus occupant",22,35
2020,"QLD","Car driver, passenger or unknown position",4836,16554
2020,"QLD","Heavy transport driver, passenger or unknown position",171,1029
2020,"QLD","Motorcyclist",2447,11306
2020,"QLD","Other or unknown",142,804
2020,"QLD","Pedal cyclist",1684,4710
2020,"QLD","Pedestrian",414,3032
2020,"QLD","Pick-up truck or van occupant",85,380
2020,"SA","Bus occupant",23,56
2020,"SA","Car driver, passenger or unknown position",1089,5935
2020,"SA","Heavy transport driver, passenger or unknown position",29,139
2020,"SA","Motorcyclist",583,2964
2020,"SA","Other or unknown",32,91
2020,"SA","Pedal cyclist",593,1763
2020,"SA","Pedestrian",131,1130
2020,"SA","Pick-up truck or van occupant",23,102
2020,"TAS","Car driver, passenger or unknown position",378,1939
2020,"TAS","Motorcyclist",192,717
2020,"TAS","Other or unknown",12,45
2020,"TAS","Pedal cyclist",133,335
2020,"TAS","Pedestrian",36,286
2020,"TAS","Pick-up truck or van occupant",7,15
2020,"VIC","Bus occupant",34,191
2020,"VIC","Car driver, passenger or unknown position",4661,23007
2020,"VIC","Heavy transport driver, passenger or unknown position",103,824
2020,"VIC","Motorcyclist",1682,9858
2020,"VIC","Other or unknown",144,800
2020,"VIC","Pedal cyclist",2645,6669
2020,"VIC","Pedestrian",558,6214
2020,"VIC","Pick-up truck or van occupant",57,374
2020,"WA","Bus occupant",20,65
2020,"WA","Car driver, passenger or unknown position",1498,8650
2020,"WA","Heavy transport driver, passenger or unknown position",44,191
