"year","state","counterparty","Sum(hospitalisations)","Sum(bed_days)"
2021,"TAS","Car, pick-up truck or van",294,2498
2021,"TAS","Fixed or stationary object",134,843
2021,"TAS","Non-collision transport accident",241,838
2021,"TAS","Other",136,681
2021,"VIC","Car, pick-up truck or van",4984,24317
2021,"VIC","Fixed or stationary object",1474,10500
2021,"VIC","Non-collision transport accident",2674,9243
2021,"VIC","Other",1998,10639
2021,"WA","Car, pick-up truck or van",1314,9276
2021,"WA","Fixed or stationary object",517,4258
2021,"WA","Non-collision transport accident",1054,4976
2021,"WA","Other",683,3778
